School,DATE,OPPONENT,home/away,opponent,SCORE,winning score,losing score,team score,YDS,PASS,C,A,COMP %,RUSH,R,Y/R,INT,FUM,TACK,SAC,PEN YDS,TOP
Clarke,25-Aug,at Evangel,away,Evangel,L,31,20,20,391,317,23,39,59%,74,34,2.2,-,1,87,2,63,32:30:00
Clarke,3-Sep,Missouri Valley,home,Missouri Valley,W,31,30,31,418,321,30,42,71%,97,32,3,1,1,64,1,85,35:10:00
Clarke,10-Sep,at Central Methodist,away,Central Methodist,W,3,0,3,154,76,10,21,48%,78,30,2.6,2,-,61,4,36,25:28:00
Clarke,17-Sep,Benedictine,home,Benedictine,L,36,18,18,337,234,20,35,57%,103,42,2.5,1,1,56,2,80,35:51:00
Clarke,24-Sep,at Baker,away,Baker,W,20,19,20,198,173,21,38,55%,25,31,0.8,1,1,64,2,57,30:08:00
Clarke,1-Oct,MidAmerica Nazarene,home,MidAmerica Nazarene,L,38,24,24,219,173,16,31,52%,46,30,1.5,3,1,87,-,73,26:50:00
Clarke,15-Oct,Peru State,home,Peru State,L,16,9,9,221,113,12,37,32%,108,37,2.9,1,1,66,4,69,30:21:00
Clarke,22-Oct,at Culver-Stockton,away,Culver-Stockton,L,41,21,21,320,263,20,35,57%,57,37,1.5,-,-,52,-,84,33:40:00
Clarke,29-Oct,Graceland,home,Graceland,L,30,7,7,226,206,26,39,67%,20,20,1,2,1,83,1,56,21:45
Wm Penn,27-Aug,at Benedictine,away,Benedictine,L,34,14,14,215,91,19,41,46%,124,31,4,1,-,65,1,55,27:57:00
Wm Penn,3-Sep,Baker,home,Baker,L,34,14,14,142,103,9,25,36%,39,29,1.3,-,1,86,1,31,21:55
Wm Penn,10-Sep,at MidAmerica Nazarene,away,MidAmerica Nazarene,L,33,9,9,385,244,9,30,30%,141,43,3.3,-,2,72,1,79,30:41:00
Wm Penn,24-Sep,at Missouri Valley,away,Missouri Valley,W,21,10,21,289,53,7,17,41%,236,60,3.9,2,2,45,6,20,36:58:00
Wm Penn,1-Oct,Central Methodist,home,Central Methodist,W,9,6,9,315,150,19,30,63%,165,54,3.1,1,-,42,3,16,38:54:00
Wm Penn,13-Oct,Grand View,home,Grand View,L,52,0,0,80,74,14,25,56%,6,22,0.3,-,-,76,1,59,23:20
Wm Penn,22-Oct,at Peru State,away,Peru State,L,27,25,25,309,197,17,45,38%,112,43,2.6,-,1,85,7,75,29:11:00
Wm Penn,29-Oct,Culver-Stockton,home,Culver-Stockton,L,49,21,21,258,198,14,28,50%,60,39,1.5,-,1,70,1,95,27:24:00
