PWS ID,PWS Name,PWS Type,Primary Source,Counties Served,Cities Served,Population<br>Served Count,Number of Facilities,Number of Violations,Number of Site Visits
IA3100629,ACE MOBILE HOME PARK,Community water system,Ground water,Dubuque,DUBUQUE,32,6,1,9
IA4201001,ACKLEY MUNICIPAL WATER WORKS,Community water system,Ground water,Hardin,ACKLEY,"1,599",13,6,13
IA0105002,ADAIR MUNICIPAL WATER SUPPLY,Community water system,Ground water,Adair,ADAIR,799,11,40,14
IA2503003,ADEL MUNICIPAL WATER WORKS,Community water system,Ground water,Dallas,ADEL,"6,153",23,12,13
IA9003006,AGENCY WATER WORKS,Community water system,Ground water purchased,Wapello,AGENCY,620,10,0,11
IA9203007,AINSWORTH WATER WORKS,Community water system,Ground water,Washington,AINSWORTH,511,11,3,10
IA7509008,"AKRON, CITY OF",Community water system,Ground water,Plymouth,AKRON,"1,558",16,12,9
IA1103009,ALBERT CITY MUNI WATER SUPPLY,Community water system,Ground water,Buena Vista,ALBERT CITY,677,11,11,11
IA6803010,ALBIA MUNICIPAL WATER WORKS,Community water system,Surface water purchased,Monroe,ALBIA,"3,721",11,23,12
IA6403011,ALBION WATER DEPARTMENT,Community water system,Ground water,Marshall,ALBION,448,18,21,9
IA5704012,ALBURNETT WATER SUPPLY,Community water system,Ground water,Linn,ALBURNETT,675,11,22,11
IA4213013,ALDEN WATER SUPPLY,Community water system,Ground water,Hardin,ALDEN,763,12,10,10
IA3503014,ALEXANDER WATER DEPT,Community water system,Ground water,Franklin,ALEXANDER,164,6,15,12
IA5502015,ALGONA MUNICIPAL UTILITIES,Community water system,Ground water,Kossuth,ALGONA,"5,487",18,9,11
IA9303024,ALLERTON WATER WORKS,Community water system,Surface water purchased,Wayne,ALLERTON,430,7,0,9
IA1203026,ALLISON WATER SUPPLY,Community water system,Ground water,Butler,ALLISON,966,7,3,11
IA3126605,ALPINE PARK,Community water system,Ground water purchased,Dubuque,DUBUQUE,932,4,0,1
IA1108025,ALTA MUNICIPAL WATER PLANT,Community water system,Ground water,Buena Vista,ALTA,"2,087",13,1,11
IA1903027,ALTA VISTA WATER DEPARTMENT,Community water system,Ground water,Chickasaw,ALTA VISTA,227,6,3,10
