Bowler Rank,Game 1,Game 2,Game 3,Game 4,Game 5,Game 6,Total,Bowled,Ave.
1,200,210,233,214,233,189,1279,6,213.2
2,213,231,235,169,167,231,1246,6,207.7
3,234,191,191,221,170,225,1232,6,205.3
4,187,192,179,242,248,172,1220,6,203.3
5,183,223,201,236,218,152,1213,6,202.2
6,186,248,182,211,171,212,1210,6,201.7
7,237,176,172,226,208,189,1208,6,201.3
8,183,232,216,170,203,203,1207,6,201.2
9,194,214,231,198,200,165,1202,6,200.3
10,217,221,187,209,158,205,1197,6,199.5
11,213,170,177,198,212,226,1196,6,199.3
12,180,168,161,212,214,256,1191,6,198.5
13,148,243,236,203,188,170,1188,6,198
14,216,212,174,190,197,199,1188,6,198
15,212,208,178,176,220,187,1181,6,196.8
16,179,169,214,255,192,171,1180,6,196.7
17,196,221,176,185,163,235,1176,6,196
18,225,202,184,191,182,192,1176,6,196
19,171,178,200,246,191,181,1167,6,194.5
20,211,226,169,185,169,204,1164,6,194
21,213,206,203,164,197,179,1162,6,193.7
22,188,245,157,176,202,194,1162,6,193.7
23,176,225,199,223,158,177,1158,6,193
24,208,181,227,190,170,180,1156,6,192.7
25,226,158,193,179,224,171,1151,6,191.8
26,173,215,180,211,231,139,1149,6,191.5
27,185,180,193,198,185,205,1146,6,191
28,156,201,180,181,235,193,1146,6,191
29,154,195,231,207,172,186,1145,6,190.8
30,184,219,174,185,199,180,1141,6,190.2
31,166,173,225,180,195,202,1141,6,190.2
32,157,193,210,203,200,175,1138,6,189.7
33,215,171,220,159,190,181,1136,6,189.3
34,205,225,212,192,125,177,1136,6,189.3
35,197,159,171,216,169,222,1134,6,189
36,245,169,151,173,225,171,1134,6,189
37,181,177,190,178,188,219,1133,6,188.8
38,189,164,188,173,215,202,1131,6,188.5
39,212,160,254,162,161,180,1129,6,188.2
40,192,183,141,213,145,253,1127,6,187.8
41,203,138,190,187,208,200,1126,6,187.7
42,203,196,143,200,191,193,1126,6,187.7
43,137,204,225,199,176,185,1126,6,187.7
44,176,247,177,175,174,175,1124,6,187.3
45,188,202,185,212,168,165,1120,6,186.7
46,191,161,213,161,175,213,1114,6,185.7
47,210,166,192,191,171,177,1107,6,184.5
48,147,195,161,168,188,243,1102,6,183.7
49,215,205,170,176,171,164,1101,6,183.5
50,163,182,173,156,250,171,1095,6,182.5
51,180,179,178,161,203,191,1092,6,182
52,168,177,191,142,196,214,1088,6,181.3
53,246,144,145,149,183,221,1088,6,181.3
54,156,187,195,169,166,215,1088,6,181.3
55,204,177,212,181,170,142,1086,6,181
56,197,156,183,231,180,138,1085,6,180.8
57,136,178,205,175,173,217,1084,6,180.7
58,195,185,203,167,183,149,1082,6,180.3
59,190,201,158,202,175,155,1081,6,180.2
60,233,180,147,177,151,188,1076,6,179.3
61,156,234,177,202,150,155,1074,6,179
62,142,217,143,174,215,181,1072,6,178.7
63,176,189,203,174,161,165,1068,6,178
64,191,173,175,204,150,172,1065,6,177.5
65,186,178,184,186,162,168,1064,6,177.3
66,180,152,166,155,211,196,1060,6,176.7
67,177,175,176,184,163,184,1059,6,176.5
68,212,147,147,180,176,193,1055,6,175.8
69,190,124,210,176,160,194,1054,6,175.7
70,155,161,212,140,211,174,1053,6,175.5
71,175,199,171,186,147,175,1053,6,175.5
72,188,156,150,220,149,189,1052,6,175.3
73,172,202,170,174,167,166,1051,6,175.2
74,163,199,182,148,179,180,1051,6,175.2
75,121,177,170,171,226,185,1050,6,175
76,196,211,141,150,170,177,1045,6,174.2
77,194,224,160,168,137,161,1044,6,174
78,135,210,200,180,182,135,1042,6,173.7
79,218,158,207,161,132,165,1041,6,173.5
80,162,149,163,173,190,204,1041,6,173.5
81,187,160,148,157,228,159,1039,6,173.2
82,174,172,159,234,166,130,1035,6,172.5
83,151,154,216,149,199,165,1034,6,172.3
84,189,182,168,158,197,140,1034,6,172.3
85,123,169,209,159,183,190,1033,6,172.2
86,155,219,154,152,154,199,1033,6,172.2
87,177,193,139,182,185,155,1031,6,171.8
88,145,158,201,176,140,211,1031,6,171.8
89,177,149,188,200,177,140,1031,6,171.8
90,230,150,143,152,162,192,1029,6,171.5
91,180,200,171,144,186,147,1028,6,171.3
92,144,169,155,132,167,256,1023,6,170.5
93,158,178,198,144,188,157,1023,6,170.5
94,195,191,140,164,173,159,1022,6,170.3
95,134,155,187,186,176,184,1022,6,170.3
96,144,162,121,212,168,204,1011,6,168.5
97,152,189,182,163,179,144,1009,6,168.2
98,230,168,164,155,147,143,1007,6,167.8
99,188,181,226,158,105,148,1006,6,167.7
100,190,174,157,127,198,159,1005,6,167.5
101,123,152,185,163,200,182,1005,6,167.5
102,129,145,224,201,128,177,1004,6,167.3
103,0,181,201,203,192,226,1003,5,200.6
104,158,180,201,163,155,143,1000,6,166.7
105,159,172,191,165,163,150,1000,6,166.7
106,186,181,201,149,141,141,999,6,166.5
107,171,167,154,166,155,182,995,6,165.8
108,172,128,156,180,235,122,993,6,165.5
